Loading gnu/11.2.0
  Loading requirement: binutils/11.2.0
Error in cpuinfo: prctl(PR_SVE_GET_VL) failed
Sliding Window Attention is enabled but not implemented for `sdpa`; unexpected results may be encountered.
Baseline model: 494,032,768 params (all trainable)
data  train=54473  val=3000
epoch 1/3  step 2900/13619  loss=0.2859  lr=1.99e-05
epoch 1/3  step 2910/13619  loss=0.2327  lr=1.99e-05
epoch 1/3  step 2920/13619  loss=0.2689  lr=1.99e-05
epoch 1/3  step 2930/13619  loss=0.3173  lr=1.99e-05
epoch 1/3  step 2940/13619  loss=0.3059  lr=1.99e-05
epoch 1/3  step 2950/13619  loss=0.3337  lr=1.99e-05
epoch 1/3  step 2960/13619  loss=0.4082  lr=1.99e-05
epoch 1/3  step 2970/13619  loss=0.3039  lr=1.99e-05
epoch 1/3  step 2980/13619  loss=0.3030  lr=1.99e-05
epoch 1/3  step 2990/13619  loss=0.3705  lr=1.99e-05
epoch 1/3  step 3000/13619  loss=0.4230  lr=1.99e-05
epoch 1/3  step 3010/13619  loss=0.3064  lr=1.99e-05
epoch 1/3  step 3020/13619  loss=0.2981  lr=1.98e-05
epoch 1/3  step 3030/13619  loss=0.3530  lr=1.98e-05
epoch 1/3  step 3040/13619  loss=0.3848  lr=1.98e-05
epoch 1/3  step 3050/13619  loss=0.2587  lr=1.98e-05
epoch 1/3  step 3060/13619  loss=0.4612  lr=1.98e-05
epoch 1/3  step 3070/13619  loss=0.2688  lr=1.98e-05
epoch 1/3  step 3080/13619  loss=0.3004  lr=1.98e-05
epoch 1/3  step 3090/13619  loss=0.3033  lr=1.98e-05
epoch 1/3  step 3100/13619  loss=0.2474  lr=1.98e-05
epoch 1/3  step 3110/13619  loss=0.1762  lr=1.98e-05
epoch 1/3  step 3120/13619  loss=0.2883  lr=1.98e-05
epoch 1/3  step 3130/13619  loss=0.4046  lr=1.98e-05
epoch 1/3  step 3140/13619  loss=0.3087  lr=1.98e-05
epoch 1/3  step 3150/13619  loss=0.2574  lr=1.98e-05
epoch 1/3  step 3160/13619  loss=0.3313  lr=1.98e-05
epoch 1/3  step 3170/13619  loss=0.2992  lr=1.98e-05
